36,2,72,18,1
36,-2,84,20,1
26,0,80,12,1
30,4,52,16,1
36,4,34,20,1
34,2,32,12,1
36,0,44,8,1
36,6,40,16,1
36,4,40,22,1
36,8,44,24,1
32,8,28,20,1
34,12,12,18,1
40,10,12,18,1
36,4,28,16,1
28,2,44,14,1
32,0,46,18,1
36,4,42,20,1
30,0,30,10,1
26,2,22,-14,1
28,0,32,-2,1
34,-6,12,-2,1
28,-10,26,6,1
26,-4,20,10,1
24,-2,22,14,1
24,4,4,14,1
24,10,-2,26,1
18,10,0,30,1
26,10,10,30,1
30,6,0,38,1
28,10,-4,24,1
28,14,16,32,1
30,18,10,26,1
30,10,22,26,1
30,10,22,16,1
36,6,30,16,1
34,0,34,8,1
40,-8,12,16,1
36,-10,-8,34,1
34,-6,8,36,1
34,-10,14,40,1
32,-14,-6,44,1
34,-16,2,38,1
32,-12,-6,44,1
32,-8,-8,38,1
28,-12,-6,44,1
28,-10,0,46,1
24,-6,26,36,1
24,-2,38,22,1
28,-6,30,18,1
28,-4,16,20,1
30,0,50,14,1
28,0,44,24,1
26,2,44,12,1
28,2,36,16,1
28,6,2,10,1
26,2,8,16,1
20,-2,-2,12,1
26,-2,-4,10,1
32,0,2,14,1
34,-4,8,12,1
30,-4,-8,14,1
30,-4,-8,14,1
32,-6,-2,20,1
30,-8,6,28,1
30,-8,32,22,1
28,-12,12,10,1
36,-6,16,16,1
34,-8,22,10,1
22,-8,22,10,1
20,-6,14,16,1
24,-8,2,18,1
18,-8,8,12,1
16,-6,6,32,1
18,-4,14,30,1
16,-2,18,32,1
18,6,32,36,1
18,8,36,46,1
18,18,38,56,1
22,8,40,58,1
20,2,6,52,1
24,-4,16,64,1
24,-4,14,66,1
28,-2,20,30,1
28,-2,-4,28,1
32,-2,4,34,1
32,-4,-4,32,1
26,-2,-26,10,1
24,-10,-26,4,1
26,-2,-38,6,1
28,6,-8,2,1
22,12,-8,-16,1
30,12,-12,-18,1
30,8,-52,-8,1
30,8,-34,-12,1
32,8,-38,-18,1
30,6,-36,-16,1
34,0,-28,-6,1
30,0,-40,2,1
22,2,-32,6,1
24,4,-28,10,1
30,4,-10,16,1
30,-2,-32,10,1
28,2,-6,6,1
24,4,0,10,1
16,4,-2,8,1
